label,year,mean_rad
Dragash,2014,0.30801383021694256
Hani I Elezit,2014,0.7395545555751273
Prizren,2014,1.1476444903440703
Shte Rpce,2014,0.4260531948025077
KaCanik,2014,0.46868628010959784
Rahovec,2014,0.7846836945452325
Suhareke,2014,0.7372302052056376
Junik,2014,0.32947170864837283
Viti,2014,0.8377853332820904
Ferizaj,2014,1.9238912798417267
Shtime,2014,0.6651254757217525
Gjakove,2014,0.7605993378744159
DeCan,2014,0.5004042430385246
Malisheve,2014,0.7126807233640163
Gjilan,2014,0.9478590067930485
GraCanica,2014,2.113421060425325
Fushe Kosovo,2014,3.0256908567885263
Kline,2014,0.5079003755955291
Novo Berdo,2014,0.3837904056659359
Gllogovc,2014,1.1123547089749215
Peje,2014,0.9336132209702819
Obiliq,2014,2.221091442076374
Skenderaj,2014,0.5362207799267739
Istog,2014,0.4521226428087299
Prishtine,2014,2.1066426666410276
Vushtrri,2014,0.9439545537647677
Zubin Potok,2014,0.45808113560393643
ZveCan,2014,0.9825315035222986
Podujeve,2014,0.6173859809833291
Leposaviq,2014,0.48809525148257477
Mitrovice,2014,1.0193987780006295
Lipjan,2014,1.101615800788458
Ranillug,2014,0.3479334385907111
Kamenice,2014,0.33147388827883234
Dragash,2019,0.49257701101484885
Hani I Elezit,2019,1.0022243376901696
Prizren,2019,1.731903703301412
Shte Rpce,2019,0.6662262094513982
KaCanik,2019,1.1045789832263433
Rahovec,2019,1.2171867334926934
Suhareke,2019,1.2763124496933131
Junik,2019,0.5499207433854926
Viti,2019,1.4844077196454424
Ferizaj,2019,3.830208783133886
Shtime,2019,1.2795353367194366
Gjakove,2019,1.0769323598834695
DeCan,2019,0.753080003836584
Malisheve,2019,1.0168324282711307
Gjilan,2019,1.453075900637717
GraCanica,2019,3.955119923769967
Fushe Kosovo,2019,4.400558721712305
Kline,2019,0.7585617755413481
Novo Berdo,2019,0.7133228574113055
Gllogovc,2019,1.4082519116081336
Peje,2019,1.3994124300815112
Obiliq,2019,3.3433889499244156
Skenderaj,2019,0.7195469077453401
Istog,2019,0.6900214119045665
Prishtine,2019,3.1116345120825515
Vushtrri,2019,1.304241297979255
Zubin Potok,2019,0.8021301391488422
ZveCan,2019,1.15726428606294
Podujeve,2019,0.8602861593698482
Leposaviq,2019,0.6890955184194562
Mitrovice,2019,1.2454791728440828
Lipjan,2019,1.547394704360198
Ranillug,2019,0.7363451145331441
Kamenice,2019,0.5235712766317142
Dragash,2025,0.7953854113192148
Hani I Elezit,2025,1.4110853827619247
Prizren,2025,2.753499882893998
Shte Rpce,2025,0.7671042969279013
KaCanik,2025,1.3998356508835867
Rahovec,2025,2.2454350722790357
Suhareke,2025,2.1255706879394847
Junik,2025,1.1230805653825202
Viti,2025,2.232680230671887
Ferizaj,2025,5.442885834023795
Shtime,2025,2.4309529304305295
Gjakove,2025,1.8371142695610925
DeCan,2025,1.4891507096654002
Malisheve,2025,1.9287976680312622
Gjilan,2025,2.2997442766479885
GraCanica,2025,6.591572195027933
Fushe Kosovo,2025,5.8254787722750425
Kline,2025,1.704186427127948
Novo Berdo,2025,1.1920045906998082
Gllogovc,2025,2.6654838529565774
Peje,2025,2.3088473610868268
Obiliq,2025,4.144401715472007
Skenderaj,2025,1.2498454430376411
Istog,2025,1.2081582910604765
Prishtine,2025,4.861136011372395
Vushtrri,2025,2.0800077934144174
Zubin Potok,2025,0.9005915650154829
ZveCan,2025,1.1976554492664526
Podujeve,2025,1.507694948411808
Leposaviq,2025,0.8047436729799388
Mitrovice,2025,1.7654511669243962
Lipjan,2025,2.5595100062421254
Ranillug,2025,1.141173963209953
Kamenice,2025,0.8538227313568628
